nanmean_CO_2EmissionsPerCapita,nanmean_GDPcurrentInUS,nanmean_GDPperCapitaUS,nanmean_PopulationTotal,nanmean_EnergyUsePerCapitaKgOilEq,nanmean_UrbanPopulationPercentage,nanmean_EducationExpenditurePercentageGDP,nanmean_RenewableEnergySharePercentage,nanmean_MotorVehiclesPer1000People,nanmean_ElectricityFromCoalPerc,nanmean_ElectricityFromNuclearPerc,nanmean_ElectricityFromRenewablesPerc,nanmean_ElectricityFromFossilFuelsPerc,Country,Target
0.168421772992046,12970494009.4451,421.160163447698,28965247.5238095,NaN,23.8135714285714,4.19192390214829,25.4095238095238,NaN,0,0,1.44923297795063,19.2527864683125,"Afghanistan",0
1.07318996337064,721461033535.101,1301.56500682891,537419085.095238,617.175654353752,32.4556127499084,4.36017161607742,62.822415702568,NaN,69.0765014464631,3.71267541511021,1.60926388684049,73.5867448748139,"Africa Eastern and Southern",0
0.492520695470519,552098047249.921,1430.20497917778,368464374.809524,321.984858746991,41.6507832745495,2.74002621287391,79.1615418880466,NaN,0.410329826931775,0,1.98497040040004,63.1809402015417,"Africa Western and Central",0
1.52238739770911,10752783843.6908,3685.59530700714,2943197.0952381,730.492161789039,52.0411428571429,3.39206726778121,37.5476190476191,NaN,0,0,0.0628663011652053,1.24555983303597,"Albania",0
3.46149869424478,154636266675.751,4122.66742373798,36703706.2380952,1167.98754531825,67.2651904761905,5.23556854611351,0.280952380952381,104.955386331502,0,0,0.198495236657028,99.2989306767598,"Algeria",0
0.00183774355390776,587714285.714286,10846.4124842314,54518.5714285714,NaN,87.6987619047619,14.7170495986938,0.10952380952381,NaN,0,0,1.1887603464695,98.8112396535305,"American Samoa",0
0.939959794809986,66472699312.4779,2673.96048605984,23886139.3333333,453.623198032648,59.3885714285714,2.68451959746224,57.3095238095238,38,0,0,0.966693963414298,35.3048479807597,"Angola",0
2.71630089952181,1306981481.48148,15377.8326974928,84444.9047619048,1761.01242862312,27.2097142857143,2.54023956117176,0.185714285714286,NaN,0,0,0.818099835243809,99.1819001647562,"Antigua and Barbuda",0
4.2994010975198,1991182912149.61,5238.38535621426,366667891.52381,1649.85965108741,55.5211868754791,4.29468169098808,5.29404779526524,NaN,1.72828236669837,0.00656412723662781,0.500404636034747,96.1365402543387,"Arab World",0
4.1018746923852,385169838652.517,9161.65405298917,41310339.7142857,1773.92159737802,90.7515238095238,4.83027001789638,9.56666666666667,NaN,1.70289673828105,6.03128993627511,-4.60536727759847,57.9774093062576,"Argentina",0
1.61905788191662,8461419130.92313,2789.06874260474,3072190.47619048,899.223012173117,63.5907142857143,2.73033100082761,8.55238095238095,NaN,0,36.000930130156,0.100382096824423,34.1742880304482,"Armenia",0
4.01874149083505,2588244326.94556,25318.1754676249,101674.523809524,NaN,44.0878571428571,5.12088170505705,3.83333333333333,NaN,0,0,7.98532718222218,92.0146728177778,"Aruba",0
17.9739729669928,1034810004115.94,45672.1506424907,22100206.2857143,5550.80639495073,85.1544285714286,5.36251295180548,8.44285714285714,NaN,70.5226487802851,0,5.24211573043689,88.3539770662641,"Australia",1
8.50256665732644,363686759068.969,42957.8153611025,8424354.0952381,3862.3500006032,58.3481428571429,5.43137909117199,30.3857142857143,NaN,9.53557769285774,0,10.4295822297751,26.3955043980684,"Austria",1
3.48827761157255,38158360785.7379,4098.92165574362,9039720.57142857,1483.13945208886,53.5982857142857,2.93534714835031,2.62380952380952,NaN,0,0,0.370291585850305,90.2550118547581,"Azerbaijan",0
3.17501663749635,10450304761.9048,28594.5793407706,364204.095238095,2008.96941729348,82.5033333333333,2.46071305161431,1.37142857142857,NaN,0,0,0.0916367852070737,99.9083632147929,"Bahamas, The",0
25.0316645044705,25402634245.1874,21410.6665496523,1129650.28571429,10994.2562478334,88.7461904761905,2.61876522359394,0,NaN,0,0,0.0128224337344469,99.9948077051745,"Bahrain",1
0.413504622738864,152528806179.922,971.621571950296,151718650.571429,200.693538583382,30.6030952380952,2.00064889589945,41.4238095238095,NaN,1.52034508371303,0,0.788494855087702,97.4367139068535,"Bangladesh",0
2.53875067763515,4623751645.2381,16833.0021025641,273583.380952381,1453.39637369505,32.1139047619048,5.29090006010873,6.53809523809524,NaN,0,0,0.889259535003115,99.1107404649969,"Barbados",0
6.3457419484733,47069708630.3423,4953.53968958837,9574997.23809524,2790.51397734668,74.7409523809524,5.35012469972883,6.98571428571429,NaN,0.0493237837305049,0.041753756602776,0.455680607164513,99.1258575820313,"Belarus",0
10.1315038382374,442904552952.865,40426.2878235682,10889108.3809524,5147.58747072937,97.634,6.16465316499983,5.99047619047619,NaN,8.39984586268891,50.789653322226,9.77818674533321,35.9725105179281,"Belgium",1
0.596604836424791,1787800000,5559.55327969129,318331.095238095,592.788259668714,45.4119523809524,4.8845990385328,31.8571428571429,NaN,0,0,19.1930263290531,27.4470139859037,"Belize",0
0.46146064630899,9601970351.54134,932.133803274806,9930105.95238095,353.9024842139,43.1574761904762,2.93659271512713,53.752380952381,22,0,0,0.22824193554167,98.3844904482425,"Benin",0
3.72150759123817,5982048428.57143,94473.2424674183,63187.5238095238,NaN,100,1.94855162529718,0.6,NaN,NaN,NaN,NaN,NaN,"Bermuda",0
1.34494123848749,1581783268.68476,2201.96599580752,696953.571428571,329.048972480329,34.5378571428571,5.40879368782044,85.8619047619048,NaN,0,0,0.00674159116971297,0.0176150810765482,"Bhutan",0
1.4301018649449,22192940345.2853,2086.51079217572,10193518.1904762,634.901265368154,66.2443333333333,7.26179027557373,20.2190476190476,NaN,0,0,1.86816815234333,61.7226548722701,"Bolivia",0
