PredictedCO2_Base,PredictedCO2_GDP10pct,PctChange
58386815.9880187,58386815.9880188,1.40367966944764e-13
163127844.612966,163127844.612967,1.27885130345972e-13
85877463.4258027,85877463.4258028,1.21461585142247e-13
6548610.64971752,6548610.64971753,5.68867275476609e-14
7540935.82662738,7540935.82662739,4.94009017462759e-14
9586498.05041757,9586498.05041758,5.82896425608668e-14
10328510.8570192,10328510.8570192,5.41020436057862e-14
22075019.9778486,22075019.9778486,3.37511839373201e-14
23226732.7352571,23226732.7352571,3.20776093729885e-14
8331015.86805307,8331015.86805313,6.70738783384258e-13
14366793.4540487,14366793.4540488,6.48246651275564e-13
22200526.3799697,22200526.3799698,6.3764718420945e-13
56911850.3040712,56911850.3040712,2.61828795131999e-14
69008415.0838599,69008415.0838599,2.1593252323995e-14
178312318.341981,178312318.341981,1.67135521902296e-14
204021060.549621,204021060.549621,2.92149470328304e-14
213917848.72313,213917848.72313,1.39316670233852e-14
9785312.35024192,9785312.35024193,5.71053355037228e-14
9959889.26041785,9959889.26041785,3.74029288986856e-14
20116478.6559106,20116478.6559106,3.70372008161314e-14
6463182.03365513,6463182.03365516,5.18747770240293e-13
7031954.90740813,7031954.90740816,4.90033507246618e-13
6827380.25802195,6827380.25802198,4.63793817544013e-13
15172872.458251,15172872.4582511,3.92836919570741e-13
21229510.9280617,21229510.9280617,3.50953944354671e-13
18656653.1657132,18656653.1657133,2.9951435544518e-13
4659627.15868888,4659627.15868889,7.99482484669467e-14
3951682.86026949,3951682.86026949,7.07032376493871e-14
4316507.1647064,4316507.16470641,6.47275127142404e-14
8384343.55645645,8384343.55645646,5.5539385304548e-14
16617423.7330203,16617423.7330203,4.48359548184287e-14
19148807.3846294,19148807.3846294,5.83632738629799e-14
18330741.0046489,18330741.0046489,4.06452777606441e-14
22629145.1556176,22629145.1556176,3.29247107908284e-14
95252357.3943631,95252357.3943631,1.56438765417154e-14
327398590.080911,327398590.080911,0
646917526.748696,646917526.748696,0
730606972.781503,730606972.781503,0
869089730.223368,869089730.223368,0
662351078.381746,662351078.381746,0
761864694.678032,761864694.678032,1.56470421038686e-14
3576696.8607989,3576696.86079891,1.04154487882147e-13
2280198.46196989,2280198.46196989,1.42953741330838e-13
10002765.1627105,10002765.1627105,7.44852095968321e-14
15060634.579114,15060634.579114,6.18382027479127e-14
15327714.2258474,15327714.2258474,7.29128344299354e-14
17935044.6364673,17935044.6364673,6.23130364150968e-14
189470.486288392,189470.486288404,6.39001551490871e-12
221655.184703664,221655.184703677,6.15807679051439e-12
238306.143048458,238306.143048472,5.86213953216956e-12
150137.808525812,150137.80852582,5.3501894592244e-12
240531.625749544,240531.625749556,4.96091540980384e-12
331438.255886268,331438.255886284,4.61884364534401e-12
399188.042151053,399188.04215107,4.31612819300502e-12
470732.901241843,470732.901241862,4.15474975624809e-12
13028532.9041503,13028532.9041503,1.00076625208225e-13
11467852.9705941,11467852.9705941,8.12115900860935e-14
28461356.3678938,28461356.3678939,6.54447077347352e-14
31402380.4254616,31402380.4254616,5.93154125258826e-14
691293.147215891,691293.147215971,1.15523943922934e-11
813357.224485565,813357.224485657,1.13358475355337e-11
912355.218412321,912355.218412419,1.08076082207327e-11
1055838.79416055,1055838.79416066,1.03863614187582e-11
1167064.22641665,1167064.22641677,9.89525654529749e-12
1899042.60220195,1899042.60220213,9.44052521020874e-12
1866625.18243291,1866625.18243308,9.1803836861291e-12
2524990.50629521,2524990.50629543,8.59401884262119e-12
3145325.83376498,3145325.83376524,8.2907251799789e-12
270606697.795047,270606697.795047,2.20263006278338e-14
302729938.457724,302729938.457724,1.96890486217023e-14
269672912.507437,269672912.507437,2.21025701918604e-14
765745685.175841,765745685.175841,1.55677389841781e-14
570404918.791007,570404918.791007,0
15897136.9867568,15897136.9867568,3.51505774426423e-14
90995723.1565988,90995723.1565988,1.63756720392271e-14
96984754.9001839,96984754.9001839,1.53644366160268e-14
47655610.6332783,47655610.6332783,1.56342149390507e-14
11546951.8787969,11546951.8787969,3.22621098413208e-14
22394744.1171522,22394744.1171522,1.66346633789341e-14
26814264.1619557,26814264.1619557,2.77858849749633e-14
32822419.9801411,32822419.9801411,2.26996687064261e-14
38534789.2563527,38534789.2563527,1.93346862424985e-14
56431177.7785205,56431177.7785205,1.32029507272835e-14
80468165.9902611,80468165.9902611,1.85180822881574e-14
88114806.0561558,88114806.0561558,1.69110752900609e-14
83579554.7953133,83579554.7953133,1.78287156833279e-14
87740540.9695415,87740540.9695415,1.6983210986835e-14
116463597.830898,116463597.830898,1.27946941974811e-14
10614895.7068215,10614895.7068215,1.05284792277363e-13
10145521.0704395,10145521.0704395,1.10155711252213e-13
25751050.5036177,25751050.5036177,8.67993396526925e-14
40793211.8569933,40793211.8569933,7.30570627588036e-14
54969834.2895927,54969834.2895928,8.13236644411834e-14
85820957.9880052,85820957.9880053,8.6815397679028e-14
10655178.4097956,10655178.4097956,3.49622517351485e-14
10574052.2717843,10574052.2717843,3.52304887729982e-14
10917233.4642088,10917233.4642088,3.4123024946521e-14
44294393.5345308,44294393.5345308,3.36411902382885e-14
6446087.56747019,6446087.5674702,8.66872407364129e-14
6710814.61888616,6710814.61888617,8.32676174955991e-14
22487333.6875857,22487333.6875857,6.62646866047705e-14
24779101.6490879,24779101.6490879,7.51700031586706e-14
31572619.363322,31572619.363322,5.8995584997132e-14
41353592.0302538,41353592.0302538,5.40503029928312e-14
49423039.848765,49423039.848765,4.52253480546078e-14
45609056.0120257,45609056.0120257,4.90072449315286e-14
46380980.9880695,46380980.9880695,4.81916106874087e-14
31972601.3711998,31972601.3711998,4.660603314959e-14
15232895.8006136,15232895.8006136,7.33666864243605e-14
12535494.541742,12535494.541742,7.42948410622541e-14
11179656.7968916,11179656.7968916,6.66440905323263e-14
10233902.0390436,10233902.0390436,5.46021979336348e-14
9596306.8516344,9596306.8516344,5.82300621904474e-14
35190164.1803163,35190164.1803164,6.35170148006128e-14
60209072.4932329,60209072.4932329,4.94980592684681e-14
